
1	1	-5.022288	0.264666	0
14	1	-4.476755	0.326197	1
5.5	1	-5.340115	0.234589	1
0	1	-4.242867	0.357775	0
5	1	-4.508984	0.301952	1
4	1	-5.498678	0.231571	0
2	1	-7.044105	0.11573	0
4	1	-6.890021	0.112856	0
7	1	-4.892495	0.270173	1
7	1	-5.391029	0.232744	1
5	1	-3.444478	0.261305	1
4	1	-6.167603	0.163755	0
4	1	-6.448134	0.141422	0
7	1	-3.297668	0.457533	1
28	1	-6.635729	0.135242	1
3	1	-5.634576	0.209191	0
23	1	-6.981201	0.106802	1
0	1	-4.443179	0.332634	0
15	1	-4.711007	0.234809	1
5.5	1	-6.547148	0.138512	1
28	1	-6.27169	0.162999	1
14	1	-4.438453	0.335041	1
5	1	-5.783272	0.194052	1
5.5	1	-2.93107	0.430788	1
1	1	-6.261446	0.144105	0
23	1	-6.878393	0.113942	1
8	1	-3.949079	0.377429	1
28	1	-5.557447	0.215961	1
0	1	-4.117501	0.368975	0
23	1	-6.997403	0.112878	1
5.5	1	-6.105098	0.1701	1
4	1	-5.436135	0.232209	0
7	1	-4.276605	0.336085	1
4.5	1	-5.952058	0.186489	1
4	1	-6.112667	0.170633	0
8	1	-4.554466	0.322111	1
1	1	-5.711205	0.19273	0
8	1	-4.330956	0.285695	1
1	1	-5.132032	0.260633	0
4.5	1	-6.41744	0.151709	1
0.25	1	-5.585259	0.209863	0
1.5	1	-5.25832	0.23252	0
1	1	-5.704053	0.19771	0
15	1	-4.913137	0.251972	1
15	1	-4.597834	0.28278	1
28	1	-7.120925	0.108514	1
1	1	-3.700544	0.370961	0
14	1	-4.609161	0.316395	1
4	1	-5.892061	0.183572	0
1	1	-3.269487	0.444774	0
5	1	-6.366916	0.144614	1
0.25	1	-5.456811	0.232861	0
1.5	1	-5.845099	0.185668	0
23	1	-6.739151	0.11513	1
0	1	-3.747787	0.410335	0
5	1	-4.239028	0.247455	1
1	1	-6.27717	0.156368	0
2	1	-6.006647	0.160691	0
7	1	-5.477592	0.228624	1
7	1	-3.377325	0.418646	1
2	1	-5.185987	0.244948	0
1	1	-4.20273	0.356881	0
11	1	-6.261141	0.141958	1
1.5	1	-6.471427	0.13639	0
3	1	-5.866357	0.184985	0
5	1	-4.865194	0.168581	1
5	1	-5.657899	0.200423	1
4.5	1	-6.247076	0.164916	1
4	1	-5.24977	0.24974	0
1	1	-5.159169	0.260375	0
5	1	-5.070096	0.249703	1
14	1	-4.333543	0.344834	1
7	1	-2.434031	0.527367	1
28	1	-6.18359	0.147403	1
1	1	-3.760348	0.378483	0
